icd9	description
9042	injury to femoral veins
9043	injury to saphenous veins
90440	injury to popliteal vessel s unspecified
90441	injury to popliteal artery
90442	injury to popliteal vein
90450	injury to tibial vessel s unspecified
90451	injury to anterior tibial artery
90452	injury to anterior tibial vein
90453	injury to posterior tibial artery
90454	injury to posterior tibial vein
9046	injury to deep plantar blood vessels
9047	injury to other specified blood vessels of lower extremity
9048	injury to unspecified blood vessel of lower extremity
9049	injury to blood vessels of unspecified site
9050	late effect of fracture of skull and face bones
9051	late effect of fracture of spine and trunk without mention of spinal cord lesion
9052	late effect of fracture of upper extremities
9053	late effect of fracture of neck of femur
9054	late effect of fracture of lower extremities
9055	late effect of fracture of multiple and unspecified bones
9056	late effect of dislocation
9057	late effect of sprain and strain without mention of tendon injury
9058	late effect of tendon injury
9059	late effect of traumatic amputation
9060	late effect of open wound of head neck and trunk
9061	late effect of open wound of extremities without mention of tendon injury
9062	late effect of superficial injury
9063	late effect of contusion
9064	late effect of crushing
9065	late effect of burn of eye face head and neck
9066	late effect of burn of wrist and hand
9067	late effect of burn of other extremities
9068	late effect of burns of other specified sites
9069	late effect of burn of unspecified site
9070	late effect of intracranial injury without mention of skull fracture
9071	late effect of injury to cranial nerve
9072	late effect of spinal cord injury
9073	late effect of injury to nerve root s spinal plexus es and other nerves of trunk
9074	late effect of injury to peripheral nerve of shoulder girdle and upper limb
9075	late effect of injury to peripheral nerve of pelvic girdle and lower limb
9079	late effect of injury to other and unspecified nerve
9080	late effect of internal injury to chest
9081	late effect of internal injury to intra abdominal organs
9082	late effect of internal injury to other internal organs
9083	late effect of injury to blood vessel of head neck and extremities
9084	late effect of injury to blood vessel of thorax abdomen and pelvis
9085	late effect of foreign body in orifice
9086	late effect of certain complications of trauma
9089	late effect of unspecified injury
9090	late effect of poisoning due to drug medicinal or biological substance
9091	late effect of toxic effects of nonmedical substances
9092	late effect of radiation
9093	late effect of complications of surgical and medical care
9094	late effect of certain other external causes
9095	late effect of adverse effect of drug medicinal or biological substance
9099	late effect of other and unspecified external causes
9100	abrasion or friction burn of face neck and scalp except eye without mention of infection
9101	abrasion or friction burn of face neck and scalp except eye infected
9102	blister of face neck and scalp except eye without mention of infection
9103	blister of face neck and scalp except eye infected
9104	insect bite nonvenomous of face neck and scalp except eye without mention of infection
9105	insect bite nonvenomous of face neck and scalp except eye infected
9106	superficial foreign body splinter of face neck and scalp except eye without major open wound and without mention of infection
9107	superficial foreign body splinter of face neck and scalp except eye without major open wound infected
9108	other and unspecified superficial injury of face neck and scalp without mention of infection
9109	other and unspecified superficial injury of face neck and scalp infected
9110	abrasion or friction burn of trunk without mention of infection
9111	abrasion or friction burn of trunk infected
9112	blister of trunk without mention of infection
9113	blister of trunk infected
9114	insect bite nonvenomous of trunk without mention of infection
9115	insect bite nonvenomous of trunk infected
9116	superficial foreign body splinter of trunk without major open wound and without mention of infection
9117	superficial foreign body splinter of trunk without major open wound infected
9118	other and unspecified superficial injury of trunk without mention of infection
9119	other and unspecified superficial injury of trunk infected
9120	abrasion or friction burn of shoulder and upper arm without mention of infection
9121	abrasion or friction burn of shoulder and upper arm infected
9122	blister of shoulder and upper arm without mention of infection
9123	blister of shoulder and upper arm infected
9124	insect bite nonvenomous of shoulder and upper arm without mention of infection
9125	insect bite nonvenomous of shoulder and upper arm infected
9126	superficial foreign body splinter of shoulder and upper arm without major open wound and without mention of infection
9127	superficial foreign body splinter of shoulder and upper arm without major open wound infected
9128	other and unspecified superficial injury of shoulder and upper arm without mention of infection
9129	other and unspecified superficial injury of shoulder and upper arm infected
9130	abrasion or friction burn of elbow forearm and wrist without mention of infection
9131	abrasion or friction burn of elbow forearm and wrist infected
9132	blister of elbow forearm and wrist without mention of infection
9133	blister of elbow forearm and wrist infected
9134	insect bite nonvenomous of elbow forearm and wrist without mention of infection
9135	insect bite nonvenomous of elbow forearm and wrist infected
9136	superficial foreign body splinter of elbow forearm and wrist without major open wound and without mention of infection
9137	superficial foreign body splinter of elbow forearm and wrist without major open wound infected
9138	other and unspecified superficial injury of elbow forearm and wrist without mention of infection
9139	other and unspecified superficial injury of elbow forearm and wrist infected
9140	abrasion or friction burn of hand s except finger s alone without mention of infection
9141	abrasion or friction burn of hand s except finger s alone infected
9142	blister of hand s except finger s alone without mention of infection
9143	blister of hand s except finger s alone infected
9144	insect bite nonvenomous of hand s except finger s alone without mention of infection
9145	insect bite nonvenomous of hand s except finger s alone infected
9146	superficial foreign body splinter of hand s except finger s alone without major open wound and without mention of infection
9147	superficial foreign body splinter of hand s except finger s alone without major open wound infected
9148	other and unspecified superficial injury of hand s except finger s alone without mention of infection
9149	other and unspecified superficial injury of hand s except finger s alone infected
9150	abrasion or friction burn of finger s without mention of infection
9151	abrasion or friction burn of finger s infected
9152	blister of finger s without mention of infection
9153	blister of finger s infected
9154	insect bite nonvenomous of finger s without mention of infection
9155	insect bite nonvenomous of finger s infected
9156	superficial foreign body splinter of finger s without major open wound and without mention of infection
9157	superficial foreign body splinter of finger s without major open wound infected
9158	other and unspecified superficial injury of fingers without mention of infection
9159	other and unspecified superficial injury of fingers infected
9160	abrasion or friction burn of hip thigh leg and ankle without mention of infection
9161	abrasion or friction burn of hip thigh leg and ankle infected
9162	blister of hip thigh leg and ankle without mention of infection
9163	blister of hip thigh leg and ankle infected
9164	insect bite nonvenomous of hip thigh leg and ankle without mention of infection
9165	insect bite nonvenomous of hip thigh leg and ankle infected
9166	superficial foreign body splinter of hip thigh leg and ankle without major open wound and without mention of infection
9167	superficial foreign body splinter of hip thigh leg and ankle without major open wound infected
9168	other and unspecified superficial injury of hip thigh leg and ankle without mention of infection
9169	other and unspecified superficial injury of hip thigh leg and ankle infected
9170	abrasion or friction burn of foot and toe s without mention of infection
9171	abrasion or friction burn of foot and toe s infected
9172	blister of foot and toe s without mention of infection
9173	blister of foot and toe s infected
9174	insect bite nonvenomous of foot and toe s without mention of infection
9175	insect bite nonvenomous of foot and toe s infected
9176	superficial foreign body splinter of foot and toe s without major open wound and without mention of infection
9177	superficial foreign body splinter of foot and toe s without major open wound infected
9178	other and unspecified superficial injury of foot and toes without mention of infection
9179	other and unspecified superficial injury of foot and toes infected
9180	superficial injury of eyelids and periocular area
9181	superficial injury of cornea
9182	superficial injury of conjunctiva
9189	other and unspecified superficial injuries of eye
9190	abrasion or friction burn of other multiple and unspecified sites without mention of infection
9191	abrasion or friction burn of other multiple and unspecified sites infected
9192	blister of other multiple and unspecified sites without mention of infection
9193	blister of other multiple and unspecified sites infected
9194	insect bite nonvenomous of other multiple and unspecified sites without mention of infection
9195	insect bite nonvenomous of other multiple and unspecified sites infected
9196	superficial foreign body splinter of other multiple and unspecified sites without major open wound and without mention of infection
9197	superficial foreign body splinter of other multiple and unspecified sites without major open wound infected
9198	other and unspecified superficial injury of other multiple and unspecified sites without mention of infection
9199	other and unspecified superficial injury of other multiple and unspecified sites infected
920	contusion of face scalp and neck except eye s
9210	black eye not otherwise specified
9211	contusion of eyelids and periocular area
9212	contusion of orbital tissues
9213	contusion of eyeball
9219	unspecified contusion of eye
9220	contusion of breast
9221	contusion of chest wall
9222	contusion of abdominal wall
92231	contusion of back
92232	contusion of buttock
92233	contusion of interscapular region
9224	contusion of genital organs
9228	contusion of multiple sites of trunk
9229	contusion of unspecified part of trunk
92300	contusion of shoulder region
92301	contusion of scapular region
92302	contusion of axillary region
92303	contusion of upper arm
92309	contusion of multiple sites of shoulder and upper arm
92310	contusion of forearm
92311	contusion of elbow
92320	contusion of hand s
92321	contusion of wrist
9233	contusion of finger
9238	contusion of multiple sites of upper limb
9239	contusion of unspecified part of upper limb
92400	contusion of thigh
92401	contusion of hip
92410	contusion of lower leg
92411	contusion of knee
92420	contusion of foot
92421	contusion of ankle
9243	contusion of toe
9244	contusion of multiple sites of lower limb
9245	contusion of unspecified part of lower limb
9248	contusion of multiple sites not elsewhere classified
9249	contusion of unspecified site
9251	crushing injury of face and scalp
9252	crushing injury of neck
9260	crushing injury of external genitalia
92611	crushing injury of back
92612	crushing injury of buttock
92619	crushing injury of other specified sites of trunk
9268	crushing injury of multiple sites of trunk
9269	crushing injury of unspecified site of trunk
92700	crushing injury of shoulder region
92701	crushing injury of scapular region
92702	crushing injury of axillary region
92703	crushing injury of upper arm
92709	crushing injury of multiple sites of upper arm
92710	crushing injury of forearm
92711	crushing injury of elbow
92720	crushing injury of hand s
92721	crushing injury of wrist
9273	crushing injury of finger s
9278	crushing injury of multiple sites of upper limb
9279	crushing injury of unspecified site of upper limb
92800	crushing injury of thigh
92801	crushing injury of hip
92810	crushing injury of lower leg
92811	crushing injury of knee
92820	crushing injury of foot
92821	crushing injury of ankle
9283	crushing injury of toe s
9288	crushing injury of multiple sites of lower limb
9289	crushing injury of unspecified site of lower limb
9290	crushing injury of multiple sites not elsewhere classified
9299	crushing injury of unspecified site
9300	corneal foreign body
9301	foreign body in conjunctival sac
9302	foreign body in lacrimal punctum
9308	foreign body in other and combined sites on external eye
9309	foreign body in unspecified site on external eye
931	foreign body in ear
932	foreign body in nose
9330	foreign body in pharynx
9331	foreign body in larynx
9340	foreign body in trachea
9341	foreign body in main bronchus
9348	foreign body in other specified parts bronchus and lung
9349	foreign body in respiratory tree unspecified
9350	foreign body in mouth
9351	foreign body in esophagus
9352	foreign body in stomach
936	foreign body in intestine and colon
937	foreign body in anus and rectum
938	foreign body in digestive system unspecified
9390	foreign body in bladder and urethra
9391	foreign body in uterus any part
9392	foreign body in vulva and vagina
9393	foreign body in penis
9399	foreign body in unspecified site in genitourinary tract
9400	chemical burn of eyelids and periocular area
9401	other burns of eyelids and periocular area
9402	alkaline chemical burn of cornea and conjunctival sac
9403	acid chemical burn of cornea and conjunctival sac
9404	other burn of cornea and conjunctival sac
9405	burn with resulting rupture and destruction of eyeball
9409	unspecified burn of eye and adnexa
94100	burn of unspecified degree of face and head unspecified site
94101	burn of unspecified degree of ear any part
94102	burn of unspecified degree of eye with other parts of face head and neck
94103	burn of unspecified degree of lip s
94104	burn of unspecified degree of chin
94105	burn of unspecified degree of nose septum
94106	burn of unspecified degree of scalp any part
94107	burn of unspecified degree of forehead and cheek
94108	burn of unspecified degree of neck
94109	burn of unspecified degree of multiple sites except with eye of face head and neck
94110	erythema first degree of face and head unspecified site
94111	erythema first degree of ear any part
94112	erythema first degree of eye with other parts face head and neck
94113	erythema first degree of lip s
94114	erythema first degree of chin
94115	erythema first degree of nose septum
94116	erythema first degree of scalp any part
94117	erythema first degree of forehead and cheek
94118	erythema first degree of neck
94119	erythema first degree of multiple sites except with eye of face head and neck
94120	blisters epidermal loss second degree of face and head unspecified site
94121	blisters epidermal loss second degree of ear any part
94122	blisters epidermal loss second degree of eye with other parts of face head and neck
94123	blisters epidermal loss second degree of lip s
94124	blisters epidermal loss second degree of chin
94125	blisters epidermal loss second degree of nose septum
94126	blisters epidermal loss second degree of scalp any part
94127	blisters epidermal loss second degree of forehead and cheek
94128	blisters epidermal loss second degree of neck
94129	blisters epidermal loss second degree of multiple sites except with eye of face head and neck
94130	full thickness skin loss third degree not otherwise specified of face and head unspecified site
94131	full thickness skin loss third degree not otherwise specified of ear any part
94132	full thickness skin loss third degree not otherwise specified of eye with other parts of face head and neck
94133	full thickness skin loss third degree not otherwise specified of lip s
94134	full thickness skin loss third degree not otherwise specified of chin
94135	full thickness skin loss third degree not otherwise specified of nose septum
94136	full thickness skin loss third degree not otherwise specified of scalp any part
94137	full thickness skin loss third degree not otherwise specified of forehead and cheek
94138	full thickness skin loss third degree not otherwise specified of neck
94139	full thickness skin loss third degree not otherwise specified of multiple sites except with eye of face head and neck
94140	deep necrosis of underlying tissues deep third degree without mention of loss of a body part face and head unspecified site
94141	deep necrosis of underlying tissues deep third degree without mention of loss of a body part ear any part
94142	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of eye with other parts of face head and neck
94143	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of lip s
94144	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of chin
94145	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of nose septum
94146	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of scalp any part
94147	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of forehead and cheek
94148	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of neck
94149	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of multiple sites except with eye of face head and neck
94150	deep necrosis of underlying tissues deep third degree with loss of a body part of face and head unspecified site
94151	deep necrosis of underlying tissues deep third degree with loss of a body part of ear any part
94152	deep necrosis of underlying tissues deep third degree with loss of a body part of eye with other parts of face head and neck
94153	deep necrosis of underlying tissues deep third degree with loss of a body part of lip s
94154	deep necrosis of underlying tissues deep third degree with loss of a body part of chin
94155	deep necrosis of underlying tissues deep third degree with loss of a body part of nose septum
94156	deep necrosis of underlying tissues deep third degree with loss of a body part of scalp any part
94157	deep necrosis of underlying tissues deep third degree with loss of a body part of forehead and cheek
94158	deep necrosis of underlying tissues deep third degree with loss of a body part of neck
94159	deep necrosis of underlying tissues deep third degree with loss of a body part of multiple sites except with eye of face head and neck
94200	burn of unspecified degree of trunk unspecified site
94201	burn of unspecified degree of breast
94202	burn of unspecified degree of chest wall excluding breast and nipple
94203	burn of unspecified degree of abdominal wall
94204	burn of unspecified degree of back any part
94205	burn of unspecified degree of genitalia
94209	burn of unspecified degree of other and multiple sites of trunk
94210	erythema first degree of trunk unspecified site
94211	erythema first degree of breast
94212	erythema first degree of chest wall excluding breast and nipple
94213	erythema first degree of abdominal wall
94214	erythema first degree of back any part
94215	erythema first degree of genitalia
94219	erythema first degree of other and multiple sites of trunk
94220	blisters epidermal loss second degree of trunk unspecified site
94221	blisters epidermal loss second degree of breast
94222	blisters epidermal loss second degree of chest wall excluding breast and nipple
94223	blisters epidermal loss second degree of abdominal wall
94224	blisters epidermal loss second degree of back any part
94225	blisters epidermal loss second degree of genitalia
94229	blisters epidermal loss second degree of other and multiple sites of trunk
94230	full thickness skin loss third degree not otherwise specified of trunk unspecified site
94231	full thickness skin loss third degree not otherwise specified of breast
94232	full thickness skin loss third degree not otherwise specified of chest wall excluding breast and nipple
94233	full thickness skin loss third degree not otherwise specified of abdominal wall
94234	full thickness skin loss third degree not otherwise specified of back any part
94235	full thickness skin loss third degree not otherwise specified of genitalia
94239	full thickness skin loss third degree not otherwise specified of other and multiple sites of trunk
94240	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of trunk unspecified site
94241	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of breast
94242	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of chest wall excluding breast and nipple
94243	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of abdominal wall
94244	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of back any part
94245	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of genitalia
94249	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of other and multiple sites of trunk
94250	deep necrosis of underlying tissues deep third degree with loss of a body part trunk unspecified site
94251	deep necrosis of underlying tissues deep third degree with loss of a body part of breast
94252	deep necrosis of underlying tissues deep third degree with loss of a body part of chest wall excluding breast and nipple
94253	deep necrosis of underlying tissues deep third degree with loss of a body part of abdominal wall
94254	deep necrosis of underlying tissues deep third degree with loss of a body part of back any part
94255	deep necrosis of underlying tissues deep third degree with loss of a body part of genitalia
94259	deep necrosis of underlying tissues deep third degree with loss of a body part of other and multiple sites of trunk
94300	burn of unspecified degree of upper limb except wrist and hand unspecified site
94301	burn of unspecified degree of forearm
94302	burn of unspecified degree of elbow
94303	burn of unspecified degree of upper arm
94304	burn of unspecified degree of axilla
94305	burn of unspecified degree of shoulder
94306	burn of unspecified degree of scapular region
94309	burn of unspecified degree of multiple sites of upper limb except wrist and hand
94310	erythema first degree of upper limb unspecified site
94311	erythema first degree of forearm
94312	erythema first degree of elbow
94313	erythema first degree of upper arm
94314	erythema first degree of axilla
94315	erythema first degree of shoulder
94316	erythema first degree of scapular region
94319	erythema first degree of multiple sites of upper limb except wrist and hand
94320	blisters epidermal loss second degree of upper limb unspecified site
94321	blisters epidermal loss second degree of forearm
94322	blisters epidermal loss second degree of elbow
94323	blisters epidermal loss second degree of upper arm
94324	blisters epidermal loss second degree of axilla
94325	blisters epidermal loss second degree of shoulder
94326	blisters epidermal loss second degree of scapular region
94329	blisters epidermal loss second degree of multiple sites of upper limb except wrist and hand
94330	full thickness skin third degree not otherwise specified of upper limb unspecified site
94331	full thickness skin loss third degree not otherwise specified of forearm
94332	full thickness skin loss third degree not otherwise specified of elbow
94333	full thickness skin loss third degree not otherwise specified of upper arm
94334	full thickness skin loss third degree not otherwise specified of axilla
94335	full thickness skin loss third degree not otherwise specified of shoulder
94336	full thickness skin loss third degree not otherwise specified of scapular region
94339	full thickness skin loss third degree not otherwise specified of multiple sites of upper limb except wrist and hand
94340	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of upper limb unspecified site
94341	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of forearm
94342	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of elbow
94343	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of upper arm
94344	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of axilla
94345	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of shoulder
94346	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of scapular region
94349	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of multiple sites of upper limb except wrist and hand
94350	deep necrosis of underlying tissues deep third degree with loss of a body part of upper limb unspecified site
94351	deep necrosis of underlying tissues deep third degree with loss of a body part of forearm
94352	deep necrosis of underlying tissues deep third degree with loss of a body part of elbow
94353	deep necrosis of underlying tissues deep third degree with loss of a body part of upper arm
94354	deep necrosis of underlying tissues deep third degree with loss of a body part of axilla
94355	deep necrosis of underlying tissues deep third degree with loss of a body part of shoulder
94356	deep necrosis of underlying tissues deep third degree with loss of a body part of scapular region
94359	deep necrosis of underlying tissues deep third degree with loss of a body part of multiple sites of upper limb except wrist and hand
94400	burn of unspecified degree of hand unspecified site
94401	burn of unspecified degree of single digit finger nail other than thumb
94402	burn of unspecified degree of thumb nail
94403	burn of unspecified degree of two or more digits of hand not including thumb
94404	burn of unspecified degree of two or more digits of hand including thumb
94405	burn of unspecified degree of palm
94406	burn of unspecified degree of back of hand
94407	burn of unspecified degree of wrist
94408	burn of unspecified degree of multiple sites of wrist s and hand s
94410	erythema first degree of hand unspecified site
94411	erythema first degree of single digit finger nail other than thumb
94412	erythema first degree of thumb nail
94413	erythema first degree of two or more digits of hand not including thumb
94414	erythema first degree of two or more digits of hand including thumb
94415	erythema first degree of palm
94416	erythema first degree of back of hand
94417	erythema first degree of wrist
94418	erythema first degree of multiple sites of wrist s and hand s
94420	blisters epidermal loss second degree of hand unspecified site
94421	blisters epidermal loss second degree of single digit finger nail other than thumb
94422	blisters epidermal loss second degree of thumb nail
94423	blisters epidermal loss second degree of two or more digits of hand not including thumb
94424	blisters epidermal loss second degree of two or more digits of hand including thumb
94425	blisters epidermal loss second degree of palm
94426	blisters epidermal loss second degree of back of hand
94427	blisters epidermal loss second degree of wrist
94428	blisters epidermal loss second degree of multiple sites of wrist s and hand s
94430	full thickness skin loss third degree not otherwise specified of hand unspecified site
94431	full thickness skin loss third degree not otherwise specified of single digit finger nail other than thumb
94432	full thickness skin loss third degree not otherwise specified of thumb nail
94433	full thickness skin loss third degree not otherwise specified of two or more digits of hand not including thumb
94434	full thickness skin loss third degree not otherwise specified of two or more digits of hand including thumb
94435	full thickness skin loss third degree not otherwise specified of palm of hand
94436	full thickness skin loss third degree not otherwise specified of back of hand
94437	full thickness skin loss third degree not otherwise specified of wrist
94438	full thickness skin loss third degree not otherwise specified of multiple sites of wrist s and hand s
94440	deep necrosis of underlying tissues deep third degree without mention of loss of a body part hand unspecified site
94441	deep necrosis of underlying tissues deep third degree without mention of loss of a body part single digit finger nail other than thumb
94442	deep necrosis of underlying tissues deep third degree without mention of loss of a body part thumb nail
94443	deep necrosis of underlying tissues deep third degree without mention of loss of a body part two or more digits of hand not including thumb
94444	deep necrosis of underlying tissues deep third degree without mention of loss of a body part two or more digits of hand including thumb
94445	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of palm of hand
94446	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of back of hand
94447	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of wrist
94448	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of multiple sites of wrist s and hand s
94450	deep necrosis of underlying tissues deep third degree with loss of a body part of hand unspecified site
94451	deep necrosis of underlying tissues deep third degree with loss of a body part of single digit finger nail other than thumb
94452	deep necrosis of underlying tissues deep third degree with loss of a body part of thumb nail
94453	deep necrosis of underlying tissues deep third degree with loss of a body part of two or more digits of hand not including thumb
94454	deep necrosis of underlying tissues deep third degree with loss of a body part of two or more digits of hand including thumb
94455	deep necrosis of underlying tissues deep third degree with loss of a body part of palm of hand
94456	deep necrosis of underlying tissues deep third degree with loss of a body part of back of hand
94457	deep necrosis of underlying tissues deep third degree with loss of a body part of wrist
94458	deep necrosis of underlying tissues deep third degree with loss of a body part of multiple sites of wrist s and hand s
94500	burn of unspecified degree of lower limb leg unspecified site
94501	burn of unspecified degree of toe s nail
94502	burn of unspecified degree of foot
94503	burn of unspecified degree of ankle
94504	burn of unspecified degree of lower leg
94505	burn of unspecified degree of knee
94506	burn of unspecified degree of thigh any part
94509	burn of unspecified degree of multiple sites of lower limb s
94510	erythema first degree of lower limb leg unspecified site
94511	erythema first degree of toe s nail
94512	erythema first degree of foot
94513	erythema first degree of ankle
94514	erythema first degree of lower leg
94515	erythema first degree of knee
94516	erythema first degree of thigh any part
94519	erythema first degree of multiple sites of lower limb s
94520	blisters epidermal loss second degree of lower limb leg unspecified site
94521	blisters epidermal loss second degree of toe s nail
94522	blisters epidermal loss second degree of foot
94523	blisters epidermal loss second degree of ankle
94524	blisters epidermal loss second degree of lower leg
94525	blisters epidermal loss second degree of knee
94526	blisters epidermal loss second degree of thigh any part
94529	blisters epidermal loss second degree of multiple sites of lower limb s
94530	full thickness skin loss third degree nos of lower limb leg unspecified site
94531	full thickness skin loss third degree nos of toe s nail
94532	full thickness skin loss third degree nos of foot
94533	full thickness skin loss third degree nos of ankle
94534	full thickness skin loss third degree nos of lower leg
94535	full thickness skin loss third degree nos of knee
94536	full thickness skin loss third degree nos of thigh any part
94539	full thickness skin loss third degree nos of multiple sites of lower limb s
94540	deep necrosis of underlying tissues deep third degree without mention of loss of a body part lower limb leg unspecified site
94541	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of toe s nail
94542	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of foot
94543	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of ankle
94544	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of lower leg
94545	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of knee
94546	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of thigh any part
94549	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of multiple sites of lower limb s
94550	deep necrosis of underlying tissues deep third degree with loss of a body part of lower limb leg unspecified site
94551	deep necrosis of underlying tissues deep third degree with loss of a body part of toe s nail
94552	deep necrosis of underlying tissues deep third degree with loss of a body part of foot
94553	deep necrosis of underlying tissues deep third degree with loss of a body part of ankle
94554	deep necrosis of underlying tissues deep third degree with loss of a body part of lower leg
94555	deep necrosis of underlying tissues deep third degree with loss of a body part of knee
94556	deep necrosis of underlying tissues deep third degree with loss of a body part of thigh any part
94559	deep necrosis of underlying tissues deep third degree with loss of a body part of multiple sites of lower limb s
9460	burns of multiple specified sites unspecified degree
9461	erythema first degree of multiple specified sites
9462	blisters epidermal loss second degree of multiple specified sites
9463	full thickness skin loss third degree nos of multiple specified sites
9464	deep necrosis of underlying tissues deep third degree without mention of loss of a body part of multiple specified sites
9465	deep necrosis of underlying tissues deep third degree with loss of a body part of multiple specified sites
9470	burn of mouth and pharynx
9471	burn of larynx trachea and lung
9472	burn of esophagus
9473	burn of gastrointestinal tract
9474	burn of vagina and uterus
9478	burn of other specified sites of internal organs
9479	burn of internal organs unspecified site
94800	burn any degree involving less than 10 percent of body surface with third degree burn less than 10 percent or unspecified
94810	burn any degree involving 10 19 percent of body surface with third degree burn less than 10 percent or unspecified
94811	burn any degree involving 10 19 percent of body surface with third degree burn 10 19
94820	burn any degree involving 20 29 percent of body surface with third degree burn less than 10 percent or unspecified
94821	burn any degree involving 20 29 percent of body surface with third degree burn 10 19
94822	burn any degree involving 20 29 percent of body surface with third degree burn 20 29
94830	burn any degree involving 30 39 percent of body surface with third degree burn less than 10 percent or unspecified
94831	burn any degree involving 30 39 percent of body surface with third degree burn 10 19
94832	burn any degree involving 30 39 percent of body surface with third degree burn 20 29
94833	burn any degree involving 30 39 percent of body surface with third degree burn 30 39
94840	burn any degree involving 40 49 percent of body surface with third degree burn less than 10 percent or unspecified
94841	burn any degree involving 40 49 percent of body surface with third degree burn 10 19
94842	burn any degree involving 40 49 percent of body surface with third degree burn 20 29
94843	burn any degree involving 40 49 percent of body surface with third degree burn 30 39
94844	burn any degree involving 40 49 percent of body surface with third degree burn 40 49
94850	burn any degree involving 50 59 percent of body surface with third degree burn less than 10 percent or unspecified
94851	burn any degree involving 50 59 percent of body surface with third degree burn 10 19
94852	burn any degree involving 50 59 percent of body surface with third degree burn 20 29
94853	burn any degree involving 50 59 percent of body surface with third degree burn 30 39
94854	burn any degree involving 50 59 percent of body surface with third degree burn 40 49
94855	burn any degree involving 50 59 percent of body surface with third degree burn 50 59
94860	burn any degree involving 60 69 percent of body surface with third degree burn less than 10 percent or unspecified
94861	burn any degree involving 60 69 percent of body surface with third degree burn 10 19
94862	burn any degree involving 60 69 percent of body surface with third degree burn 20 29
94863	burn any degree involving 60 69 percent of body surface with third degree burn 30 39
94864	burn any degree involving 60 69 percent of body surface with third degree burn 40 49
94865	burn any degree involving 60 69 percent of body surface with third degree burn 50 59
94866	burn any degree involving 60 69 percent of body surface with third degree burn 60 69
94870	burn any degree involving 70 79 percent of body surface with third degree burn less than 10 percent or unspecified
94871	burn any degree involving 70 79 percent of body surface with third degree burn 10 19
94872	burn any degree involving 70 79 percent of body surface with third degree burn 20 29
94873	burn any degree involving 70 79 percent of body surface with third degree burn 30 39
94874	burn any degree involving 70 79 percent of body surface with third degree burn 40 49
94875	burn any degree involving 70 79 percent of body surface with third degree burn 50 59
94876	burn any degree involving 70 79 percent of body surface with third degree burn 60 69
94877	burn any degree involving 70 79 percent of body surface with third degree burn 70 79
94880	burn any degree involving 80 89 percent of body surface with third degree burn less than 10 percent or unspecified
94881	burn any degree involving 80 89 percent of body surface with third degree burn 10 19
94882	burn any degree involving 80 89 percent of body surface with third degree burn 20 29
94883	burn any degree involving 80 89 percent of body surface with third degree burn 30 39
94884	burn any degree involving 80 89 percent of body surface with third degree burn 40 49
94885	burn any degree involving 80 89 percent of body surface with third degree burn 50 59
94886	burn any degree involving 80 89 percent of body surface with third degree burn 60 69
94887	burn any degree involving 80 89 percent of body surface with third degree burn 70 79
94888	burn any degree involving 80 89 percent of body surface with third degree burn 80 89
94890	burn any degree involving 90 percent or more of body surface with third degree burn less than 10 percent or unspecified
94891	burn any degree involving 90 percent or more of body surface with third degree burn 10 19
94892	burn any degree involving 90 percent or more of body surface with third degree burn 20 29
94893	burn any degree involving 90 percent or more of body surface with third degree burn 30 39
94894	burn any degree involving 90 percent or more of body surface with third degree burn 40 49
94895	burn any degree involving 90 percent or more of body surface with third degree burn 50 59
94896	burn any degree involving 90 percent or more of body surface with third degree burn 60 69
94897	burn any degree involving 90 percent or more of body surface with third degree burn 70 79
94898	burn any degree involving 90 percent or more of body surface with third degree burn 80 89
